image,w,h,aspr,corrected
image00571,1594,2417,0.659495242,
image00569,1594,2418,0.659222498,
image00483,1583,2402,0.659034138,
image00255,1588,2410,0.658921162,
image00433,1557,2365,0.658350951,
image00279,1583,2406,0.657938487,
image00467,1577,2398,0.657631359,
image00679,1588,2415,0.657556936,
image00177,1588,2416,0.657284768,
image00671,1605,2443,0.656979124,
image00477,1574,2396,0.656928214,
image00439,1555,2369,0.656395103,
image00381,1549,2360,0.656355932,
image00615,1591,2425,0.656082474,
image00465,1577,2404,0.655990017,
image00421,1549,2362,0.655800169,
image00159,1597,2436,0.655582923,
image00559,1577,2407,0.655172414,
image00008,1607,2453,0.655116184,
image00407,1546,2360,0.655084746,
image00425,1549,2366,0.654691462,
image00471,1566,2392,0.654682274,
image00685,1591,2431,0.654463184,
image00675,1585,2424,0.653877888,
image00078,1602,2450,0.653877551,
image00293,1571,2403,0.653766126,
image00395,1546,2365,0.653699789,
image00237,1576,2412,0.653399668,
image00253,1574,2409,0.653383147,
image00543,1574,2410,0.653112033,
image00391,1540,2358,0.653095844,
image00353,1549,2372,0.653035413,
image00581,1579,2418,0.653019024,
image00689,1588,2432,0.652960526,
image00010,1612,2469,0.652895909,
image00611,1583,2425,0.652783505,
image00585,1577,2416,0.652731788,
image00589,1577,2416,0.652731788,
image00265,1571,2407,0.652679684,
image00267,1569,2404,0.65266223,
image00033,1629,2496,0.652644231,
image00311,1563,2395,0.652609603,
image00557,1572,2409,0.652552927,
image00080,1602,2455,0.652545825,
image00609,1583,2426,0.652514427,
image00027,1609,2467,0.652209161,
image00565,1577,2418,0.652191894,
image00599,1577,2418,0.652191894,
image00575,1574,2414,0.652029826,
image00595,1577,2419,0.651922282,
image00503,1560,2393,0.651901379,
image00561,1572,2412,0.651741294,
image00263,1568,2406,0.651704073,
image00437,1543,2368,0.65160473,
image00405,1538,2361,0.65141889,
image00227,1569,2409,0.651307597,
image00016,1608,2469,0.65127582,
image00681,1579,2425,0.651134021,
image00273,1566,2406,0.650872818,
image00012,1604,2465,0.650709939,
image00349,1546,2377,0.650399663,
image00541,1566,2408,0.650332226,
image00072,1591,2447,0.650183899,
image00389,1535,2361,0.650148242,
image00463,1574,2421,0.650144568,
image00345,1545,2377,0.649978965,
image00070,1591,2448,0.649918301,
image00683,1574,2422,0.649876135,
image00655,1579,2430,0.649794239,
image00617,1577,2427,0.649773383,
image00415,1538,2367,0.649767638,
image00687,1586,2441,0.649733716,
image00387,1532,2358,0.649703138,
image00691,1582,2435,0.649691992,
image00285,1563,2406,0.649625935,
image00409,1535,2363,0.649597969,
image00579,1572,2420,0.649586777,
image00523,1557,2397,0.649561952,
image00076,1588,2445,0.649488753,
image00299,1558,2399,0.649437266,
image00025,1608,2476,0.649434572,
image00587,1569,2416,0.64942053,
image00028,1602,2467,0.649371707,
image00035,1589,2447,0.649366571,
image00021,1600,2464,0.649350649,
image00431,1535,2364,0.649323181,
image00379,1535,2364,0.649323181,
image00017,1609,2478,0.649313963,
image00419,1538,2369,0.64921908,
image00023,1608,2477,0.649172386,
image00417,1535,2365,0.649048626,
image00068,1594,2456,0.649022801,
image00647,1577,2430,0.648971193,
image00031,1621,2498,0.648919135,
image00597,1569,2418,0.648883375,
image00074,1589,2449,0.64883626,
image00213,1566,2414,0.648715824,
image00411,1532,2362,0.648602879,
image00539,1565,2413,0.648570245,
image00695,1579,2435,0.648459959,
image00303,1555,2398,0.648457048,
image00661,1577,2432,0.6484375,
image00096,1569,2420,0.648347107,
image00481,1554,2397,0.648310388,
image00007,1590,2453,0.648185895,
image00535,1560,2407,0.64810968,
image00259,1560,2407,0.64810968,
image00291,1558,2404,0.648086522,
image00377,1532,2364,0.648054146,
image00397,1530,2361,0.648030496,
image00621,1574,2429,0.648003294,
image00024,1605,2477,0.647961243,
image00509,1557,2403,0.647940075,
image00092,1566,2417,0.647910633,
image00347,1538,2374,0.647851727,
image00537,1560,2408,0.647840532,
image00555,1560,2408,0.647840532,
image00084,1571,2425,0.647835052,
image00413,1532,2365,0.647780127,
image00090,1565,2416,0.647764901,
image00020,1596,2464,0.647727273,
image00373,1535,2370,0.647679325,
image00605,1568,2421,0.647666254,
image00659,1577,2435,0.647638604,
image00519,1554,2400,0.6475,
image00086,1572,2428,0.647446458,
image00521,1544,2385,0.647379455,
image00423,1531,2365,0.647357294,
image00591,1562,2413,0.647326979,
image00633,1571,2427,0.647301195,
image00507,1554,2401,0.647230321,
image00693,1576,2435,0.647227926,
image00015,1598,2469,0.647225597,
image00287,1555,2403,0.647107782,
image00114,1577,2437,0.647107099,
image00309,1551,2397,0.647058824,
image00011,1595,2465,0.647058824,
image00185,1560,2411,0.647034426,
image00517,1549,2394,0.647034252,
image00026,1602,2476,0.647011309,
image00104,1565,2419,0.646961554,
image00435,1529,2364,0.64678511,
image00341,1534,2372,0.646711636,
image00359,1532,2369,0.646686366,
image00110,1568,2425,0.646597938,
image00393,1524,2357,0.646584641,
image00088,1566,2422,0.64657308,
image00640,1566,2422,0.64657308,
image00019,1593,2464,0.64650974,
image00022,1593,2464,0.64650974,
image00052,1582,2447,0.646505926,
image00531,1554,2404,0.646422629,
image00014,1603,2480,0.646370968,
image00098,1577,2440,0.646311475,
image00375,1529,2366,0.646238377,
image00607,1571,2431,0.646236117,
image00122,1569,2428,0.646210873,
image00619,1569,2428,0.646210873,
image00009,1595,2469,0.646010531,
image00094,1562,2418,0.64598842,
image00657,1571,2432,0.645970395,
image00307,1546,2394,0.645781119,
image00677,1571,2433,0.645704891,
image00653,1571,2433,0.645704891,
image00663,1569,2430,0.645679012,
image00631,1565,2424,0.645627063,
